what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.os,1.2.0.r37x201109270310,"org.eclipse.wb.os",1435462183570
started,bundle,org.eclipse.wb.os.win32,1.2.0.r37x201109270310,"org.eclipse.wb.os.win32",1435462183590
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462184606
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1435462186396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462187125
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435462187715
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462188277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462192703
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1435462204638
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1435462206687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462208269
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462221980
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435462223172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462240661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462241352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462256857
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462273040
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1435462275277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462277385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462309498
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435462309522
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462311824
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462312025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462319552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462333673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435462338541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435462377173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435462383730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462384500
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435462384872
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462385916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462389944
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1435462401825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462402640
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462416164
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1435462418890
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462430017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1435462434971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462438166
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435462438467
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462439222
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462440369
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462442156
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1435462444668
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462445608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462446196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462447626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462451674
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435462451975
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462454318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462456448
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462457671
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1435462460026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462461876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462472687
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435462472694
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462476512
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462477608
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1435462479929
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435462481385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462482150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462483236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462484948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462515886
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1435462515924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462521171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462527579
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435462535921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462536493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462580236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462606669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462608536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462608601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462609272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462637755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462647488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1435462654705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462656092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435462662483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435462664515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462664923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462674056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462676821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462677356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462679537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462680568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435462710560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435462712184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435462714213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435462715785
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1435462717647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462718481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462759492
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1435462790107
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1435462791596
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1435462792472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462793361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462795139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462796444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435462798423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462798838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462849220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462851650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462853832
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462857414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462864420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462908809
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.drawable.DrawableEditor",1435462909220
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.drawable.DrawableEditor",1435462909296
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1435462915151
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.drawable.DrawableEditor",1435462917258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462917786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462921804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462923210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462924437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462926860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462930386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462931063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435462938922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435462939988
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435462940322
