what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1445045554507
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1445045554554
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1445045554775
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1445045554900
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1445045555009
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1445045555025
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1445045555025
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1445045555087
os,sysinfo,,,"win32",1445045555087
arch,sysinfo,,,"x86",1445045555087
ws,sysinfo,,,"win32",1445045555087
locale,sysinfo,,,"zh_CN",1445045555087
processors,sysinfo,,,"2",1445045555087
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1445045555087
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1445045555087
java.specification.name,sysinfo,,,"Java Platform API Specification",1445045555087
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1445045555087
java.specification.version,sysinfo,,,"1.6",1445045555087
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1445045555087
java.version,sysinfo,,,"1.6.0_30",1445045555087
java.vm.info,sysinfo,,,"mixed mode, sharing",1445045555087
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1445045555087
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445045555087
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1445045555087
java.vm.specification.version,sysinfo,,,"1.0",1445045555087
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1445045555087
java.vm.version,sysinfo,,,"20.5-b03",1445045555087
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1445045555181
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1445045555181
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1445045555368
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1445045555399
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1445045555443
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1445045555555
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1445045555680
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1445045555821
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1445045556211
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1445045556507
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1445045556788
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1445045558488
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1445045558753
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1445045558831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445045559253
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1445045560563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047326459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047328864
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445047406762
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445047406974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047408399
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047409329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047410455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1445047410494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047419512
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1445047424875
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1445047425190
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1445047425373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1445047425503
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445047427083
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1445047428993
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.wizards",1445047432520
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1445047432790
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1445047434843
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1445047434991
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1445047441987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047452555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047482504
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047485151
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1445047485339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047487440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1445047487461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047501297
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445047501314
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047506970
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047507034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047508066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047512452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1445047518494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047520227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047523526
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445047523554
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047523771
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047523816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047524714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047526685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047535655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047545332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047553766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047765027
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textStart",1445047773158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047774520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047776060
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445047777086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047792629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047794080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047794860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047805477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047807625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047812869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047816224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047818628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047820906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047829608
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445047845727
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047845923
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445047847772
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047848164
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textStart",1445047850066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047850454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1445047850474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047854172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047861162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1445047861188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047864896
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445047866042
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445047866240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047867855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1445047867875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445047872518
