what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166494304
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166506308
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166506494
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1433166518815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166521836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166523209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433166538609
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166542519
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166542703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433166544530
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166548875
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166549074
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166549145
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1433166552116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166553236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166553559
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166555329
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166555528
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1433166557254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166558525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166558692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433166567723
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166572952
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166573143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433166574029
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1433166582478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433166589870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166591699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166680256
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166685830
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166685983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433166697432
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166704920
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1433166707813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166708869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166716695
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1433166716703
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166717043
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166718063
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1433166721467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166721496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166723308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166723355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166726189
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1433166726201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166727173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166728259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166728283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166729841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166730174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166732412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166733556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166735023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166736425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166738010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166741320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166756565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166769260
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166771854
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1433166774351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166774402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166776091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166776132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166780766
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1433166780779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166782373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166783458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166783787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166866457
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166866483
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166867699
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1433166869652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166871628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166877760
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166877782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166880036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166892351
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433166892369
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1433166895348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166897692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166905914
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1433166913571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166914974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166916055
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1433166916062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166918373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433166922420
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1433166922689
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1433166922719
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1433166923533
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1433166926720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433166926806
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1433166926806
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1433166931660
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1433166938119
