what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643136257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643141051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643158376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643203285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643405662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643406689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643409787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643410785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1460643410823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460643411095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643415804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643426409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643426545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643428648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643436533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460643467085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460643470605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643471224
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1460643471916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643472790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643475416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643490121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460643494946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643495780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643497733
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1460643504022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643505678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643506532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643508019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460643515404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460643518297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643518624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643526195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643552541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643554553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1460643554592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643557009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643558417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643561539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460643561644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460643577055
