what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730686985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730687796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460730687805
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1460730691467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730691579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730693471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730693560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730696518
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1460730696595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730697272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730697962
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730697979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730699675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460730700529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730701146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730708946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730709776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730746745
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1460730749944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730750784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730760667
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730760685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460730768111
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730769305
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1460730774253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730783641
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1460730797029
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1460730797072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730803300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730819254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730822287
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1460730822294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460730822294
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730822295
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730822305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730833408
error,log,,,"Failed to load properties file for project 'MyWhell'",1460730859252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730859317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730872197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460730874385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730874859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1460730874872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730880023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460730883822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460730884961
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730885371
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730885443
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730886185
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730886392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1460730887321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460730887769
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730888447
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730888623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1460730889241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460730889931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460730890332
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730891571
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730891728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1460730892459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460730892911
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1460730893807
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730894076
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1460730894107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1460730894903
